year,native_wage,migrant_wage,native_wage_skill_0,native_employment_skill_0,native_wage_skill_1,native_employment_skill_1,native_wage_skill_2,native_employment_skill_2,native_employment,migrant_employment,unemployment_rate,vacancy_rate,firm_count,output_per_capita,avg_productivity,firm_entry_stock,price_index,profit_rate,seed,native_wage_index_change_pct,native_wage_change_pct,native_wage_change_short_index
0,0.731045892979822,0.5215420422889214,0.5759759430616713,0.9726224783861671,0.7241131925946344,0.9750692520775623,0.8735073198535852,0.9808673469387755,0.9763636363636363,0.9733333333333334,0.024,0.7766039156626504,415,0.3189019659299945,1.0101805103103696,415,0.989536707125,-2.187755421421436,0,,,
1,0.7310765696084898,0.5218876908342046,0.5794131183614866,0.9899135446685879,0.725363740576783,0.9875346260387812,0.8733446880136119,0.9706632653061225,0.9822727272727273,0.9766666666666667,0.0184,1.0039140157434863,410,0.37693151012463477,1.0105540957814934,410,0.9791828947477884,-2.2936361896379918,0,,,
2,0.7336460587874107,0.522416929887973,0.5860183910554786,0.9870317002881844,0.7278015488239067,0.9847645429362881,0.8729058457985549,0.9642857142857143,0.9781818181818182,0.9766666666666667,0.022,1.014049445855324,405,0.4093900056535796,1.0123931630967091,405,0.9689374173418521,-2.4786721956593603,0,,,
3,0.741717086781556,0.5274428516070737,0.5947724067560225,0.9668587896253602,0.735222702651101,0.981994459833795,0.8771559301485186,0.9719387755102041,0.9736363636363636,0.9733333333333334,0.0264,0.9610956272760157,398,0.4507666924368817,1.0137856361196007,398,0.9587991413666579,-2.580685646441139,0,,,
4,0.7491423603506627,0.5324673007756217,0.605040948364194,0.9596541786743515,0.7396112697400227,0.9903047091412742,0.8815988940743689,0.9897959183673469,0.9804545454545455,0.9766666666666667,0.02,0.959942661010006,394,0.4865365162021489,1.0147381160029778,394,0.9487669451422407,-2.689593242174888,0,,,
5,0.7539934630567668,0.5364519058301206,0.6181643260419214,0.9798270893371758,0.7447685315798193,0.9916897506925207,0.8833645272496943,0.9757653061224489,0.9822727272727273,0.99,0.0168,0.9532496560516532,390,0.5276116756000664,1.0163848576718166,390,0.9388397187250985,-2.748489552342913,0,,,
6,0.7604857484535082,0.5388229519209814,0.6235990814644139,0.962536023054755,0.7514499388155502,0.9722991689750693,0.8888104622521454,0.9719387755102041,0.9690909090909091,0.9833333333333333,0.0292,0.9864923161089286,384,0.5396072405158391,1.0158880421048646,384,0.9290163637853953,-2.848941912370408,0,,,
7,0.7651947022010445,0.5420010270203278,0.6355799471499244,0.978386167146974,0.756715825619591,0.9806094182825484,0.8910467280368942,0.9528061224489796,0.97,0.98,0.0288,0.9172905547764837,379,0.5782355768373078,1.0168133601819993,379,0.919295793485441,-2.8484569491872715,0,,,
8,0.7705675896259169,0.5457239150475461,0.6441904668778404,0.9769452449567724,0.7625187652788613,0.9847645429362881,0.8934256586231648,0.9489795918367347,0.9695454545454546,0.9766666666666667,0.0296,0.9503929048321718,375,0.5975686014752637,1.0168728348205707,375,0.9096769323594476,-2.9161741250302833,0,,,
9,0.7770909746744482,0.5471874554510893,0.6532359951146517,0.9596541786743515,0.7675343227991093,0.9792243767313019,0.8981818420593725,0.9400510204081632,0.9590909090909091,0.9666666666666667,0.04,0.9410601374423431,371,0.6127099157949766,1.018297439061307,371,0.9001587161945394,-2.9533337534371102,0,,,
