mechanism_level,treatment,seed,native_wage_short,native_wage_medium,native_wage_long,native_employment_short,native_employment_long,unemployment_short,output_long,vacancy_short,firm_count_long,native_wage_skill_0_short,native_wage_skill_1_short,native_wage_skill_2_short,native_wage_change_short,native_wage_change_long
6,shock_1pct_balanced,300,0.7938956230651005,0.8124665265349391,0.8222478638129244,0.9269696969696969,0.8538636363636363,0.0745874587458746,0.8391104086997148,0.779970891078075,299.0,0.685576178638736,0.7952097108171667,0.8985222160314161,2.917380624835023,6.523335792838419
6,shock_1pct_balanced,301,0.7919783698388919,0.8105623395142073,0.8258576404872325,0.9463636363636363,0.875909090909091,0.05531353135313532,0.8605384267361837,0.8047538298054535,321.5,0.6816960244749907,0.7961484059814418,0.8989431379128746,2.238585285108779,6.397403878943482
6,shock_1pct_balanced,302,0.7942136059318728,0.8142313268186403,0.8277869265045271,0.9366666666666666,0.8739772727272728,0.06363036303630364,1.0135492957284173,0.7720256224949992,297.0,0.6784163099031645,0.7967406796585946,0.9015022323935957,2.3091488659517934,6.6631131880953225
6,shock_1pct_balanced,303,0.7835987590746157,0.8039789605869055,0.8153245647797548,0.9354545454545454,0.8572727272727273,0.06640264026402641,0.8926601191957071,0.775163478552586,300.75,0.6767756500671317,0.7924230797497703,0.8824396820385948,2.4344678439013343,6.6968535802310525
6,shock_1pct_balanced,304,0.7947991958956528,0.8141265633262404,0.8274822355422736,0.9489393939393939,0.8865909090909092,0.051089108910891086,1.0320002721435242,0.788536131627375,314.5,0.6839017879715573,0.801007505062696,0.8986579513846314,2.425822138082832,6.852251642371507
6,shock_1pct_balanced,305,0.7948746925271147,0.8120178882559141,0.8245842864877904,0.9433333333333334,0.8539772727272728,0.05610561056105611,0.851155933777185,0.7909981491290113,308.25,0.674697004643458,0.8083375278066703,0.8952960919876976,2.739262190058377,6.688077086650537
6,shock_1pct_balanced,306,0.7885304815845703,0.8080690498008408,0.8193635190035012,0.9343939393939394,0.8851136363636364,0.06693069306930693,1.2139746934350784,0.7778638215753936,302.75,0.6896795152351528,0.7898760819682377,0.8902894431118243,2.3217705634936667,6.3998749601187646
6,shock_1pct_balanced,307,0.7870887788713633,0.8031801010753205,0.8183944275193408,0.9334848484848486,0.8618181818181818,0.06613861386138614,0.9384984512352915,0.8038946773929929,299.75,0.6820341405648206,0.7906108082267581,0.8956185699504999,2.016669602107342,6.098260398591377
6,shock_3pct_balanced,300,0.792851469083185,0.8116715751080502,0.826444604112548,0.9253030303030303,0.85875,0.07961165048543689,0.8886371823892643,0.7801385311439053,309.0,0.6827411440261586,0.793603264889369,0.8969007410059452,2.6589756409073573,6.936461782472073
6,shock_3pct_balanced,301,0.7931191155332519,0.8083000265456585,0.8242515557539951,0.9428787878787879,0.8676136363636363,0.061877022653721685,0.9134006127295555,0.7907502858355316,314.25,0.6837355770156575,0.795377230161796,0.9004504586497397,2.3706431621070356,6.320496599811527
6,shock_3pct_balanced,302,0.7942966425937638,0.809550108187216,0.8217747665528085,0.9260606060606061,0.8677272727272727,0.0745631067961165,1.0072432204432786,0.7720357375396817,304.5,0.679042775970204,0.7942121608002237,0.9026321680710107,2.2883136352488735,6.035837019614453
6,shock_3pct_balanced,303,0.7840533575008107,0.8017061134901884,0.815726723115161,0.9336363636363636,0.8856818181818182,0.07003236245954693,0.9269020825341798,0.7617295313257489,315.0,0.6777353765642378,0.7905750374295212,0.8846868458062366,2.5053329053031743,6.722450290397729
6,shock_3pct_balanced,304,0.7945186258815374,0.8112200494892079,0.8214699737790527,0.9369696969696969,0.880909090909091,0.06757281553398059,1.0181851367627253,0.7865366750564581,317.5,0.6857428595124473,0.7969398894606252,0.8993792729131213,2.45149152348319,6.039854075617927
6,shock_3pct_balanced,305,0.7925477553546026,0.8091742689462885,0.8197562641675107,0.9271212121212121,0.8571590909090908,0.0744336569579288,0.9165778319276886,0.7743118874406608,298.5,0.6760703742543349,0.8026987036614076,0.8925994364710194,2.4854459020427004,6.326434152945635
6,shock_3pct_balanced,306,0.7876853078587552,0.8058780433751334,0.8197928329061299,0.9136363636363636,0.8567045454545454,0.08647249190938511,1.2021060117744704,0.774694852996097,288.5,0.6895218429473005,0.7877027712739801,0.8909266017904446,2.2054887769424574,6.482862985157453
6,shock_3pct_balanced,307,0.7895855957364798,0.8074047537254467,0.8181366661247973,0.9203030303030303,0.8543181818181818,0.08440129449838187,0.9068455013344344,0.7809196937256867,306.0,0.6856808557505399,0.7937411481504736,0.8945256742548686,2.360989567913043,6.031266411442441
6,shock_5pct_balanced,300,0.795392332490906,0.8119384060016543,0.822798502840359,0.9187878787878788,0.8560227272727273,0.08660317460317461,0.9151206563714871,0.7655950668430408,299.0,0.6884567049399917,0.7960025860984355,0.8939398910916766,2.8928093224168205,6.60468069445748
6,shock_5pct_balanced,301,0.7940212599267534,0.8113434170839839,0.823595049532521,0.9290909090909091,0.8610227272727273,0.0782222222222222,0.9434078006248934,0.7713497263471888,312.0,0.6837668709752179,0.795577580283318,0.9008326884677459,2.5160231681560123,6.284872178472386
6,shock_5pct_balanced,302,0.7953749068032744,0.8121339680352264,0.8218922908108511,0.9218181818181819,0.8421590909090909,0.08495238095238096,1.0320659190419672,0.7537342623950272,290.5,0.6771609823477217,0.799379596375935,0.9014538171742337,2.4156820508997003,6.201109965928656
6,shock_5pct_balanced,303,0.7839082980737442,0.8038598730569742,0.8146623415805112,0.9283333333333333,0.8609090909090908,0.08,0.9985676726223981,0.76359704613124,306.5,0.6737616647726342,0.7964933113871805,0.8824724000039704,2.5068441146802516,6.518547577641479
6,shock_5pct_balanced,304,0.7941926154009437,0.8108531428678039,0.8226368543774201,0.931969696969697,0.8669318181818182,0.07034920634920634,1.0012748764323,0.7646913631546113,313.5,0.6832981400772337,0.8016987425379914,0.9008505751751478,2.5400054071361318,6.102925161578792
6,shock_5pct_balanced,305,0.7885032934648802,0.805372470041517,0.8173568390520137,0.9225757575757575,0.8630681818181818,0.08330158730158731,0.9396912737006047,0.7721591681206147,317.25,0.6715399530384728,0.8013206668855117,0.8943890051757726,2.2545642907017758,6.09477783821132
6,shock_5pct_balanced,306,0.788501908783343,0.8060303846176149,0.8203085835406005,0.9265151515151514,0.8818181818181818,0.0775873015873016,1.2301267253608323,0.7678594136754401,309.0,0.6865456508805442,0.7898972628552675,0.8927100478242931,2.32818412515151,6.36200840466676
6,shock_5pct_balanced,307,0.7913058884950654,0.8104975296969688,0.8239121156737962,0.930909090909091,0.8604545454545455,0.07580952380952381,0.9462210041432444,0.772891813599642,307.75,0.6852836735820323,0.7941281797921348,0.896306639211475,2.5987799064322594,6.574130408728223
6,shock_5pct_low_skill,300,0.7973147574567165,0.8141953127319663,0.828741384160148,0.9109090909090908,0.8431818181818181,0.1012063492063492,0.8539047699586358,0.7656859767416897,298.0,0.6872165533069259,0.7937241785019687,0.8977003522641039,2.849069157950068,7.10760957406082
6,shock_5pct_low_skill,301,0.7936726931556951,0.8133734381008433,0.8279661532588152,0.9400000000000001,0.8593181818181819,0.07034920634920634,0.9183309424252196,0.7664714847459319,310.5,0.6804191333147189,0.7981879381381658,0.9017160585843381,2.4231766501761807,6.768002742148614
