treatment,from_level,to_level,delta_wage_short,delta_wage_long,delta_wage_change_short,delta_employment_short,delta_output_long
shock_5pct_balanced,0,1,0.028380769325148547,0.05650832843020237,1.3344010999719316,0.5212575757575759,0.7821014785822009
shock_5pct_balanced,1,2,0.037943275205231664,0.046713512285790126,1.1051670126562632,-0.035530303030303134,-0.11817826095972017
shock_5pct_balanced,2,3,-0.002607531284454123,-0.005687520134824653,-0.09267274801294034,-0.015093939393939326,0.18847435192874784
shock_5pct_balanced,3,4,0.0,0.0,0.0,0.0,0.0
shock_5pct_balanced,4,5,-0.0005365645061833346,-0.0008927379263239388,-0.06549022796406145,0.0007272727272726875,0.006124189371169542
shock_5pct_balanced,5,6,0.0010613299894518535,0.0018476452232187857,0.09046254478499849,0.003496969696969776,0.03337788470456049
